,Date (MM/DD/YYYY),Layer,Recipe,Wafer Type,Site,1,2,3,4,5,6,7,8,9,Max Etch Rate,Min Etch Rate,Etch Rate (A/Min),% Uni,STDEV,Result,Employee Code,Lot ID,M'MENT TOOL,Remarks,LSL,USL,LCL,UCL,% Uni USL,% Uni UCL
34,,,,ATZP91,Post,1076.27,884.29,874.12,869.47,1055.02,1209.52,914.63,849.48,946.44,,,,,,,,,,,,,,,,
35,,,,ATZP91,"∆ /Time=ERÅ/Min
",3848.9399999999996,3970.3999999999996,3993.1000000000004,3968.94,3842.5200000000004,3760.2200000000003,3975.3599999999997,3990.0,3904.34,,,,,,,,,,,,,,,,
42,2018-01-17,TEOS,ME-ER,ATZP91,Pre,7011.87,6985.21,7001.31,6976.16,7008.16,7025.95,7020.98,6989.85,6990.55,4046.1000000000004,3776.879999999999,3953.8844444444444,3.4413995689622263,90.81176618577305,Pass,1428,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
43,,,,ATZP91,Post,5077.16,4983.58,4985.83,4969.27,5065.67,5137.51,5020.19,4966.8,5011.55,,,,,,,,,,,,,,,,
44,,,,ATZP91,"∆ /Time=ERÅ/Min
",3869.42,4003.26,4030.960000000001,4013.779999999999,3884.9799999999996,3776.879999999999,4001.58,4046.1000000000004,3958.0,,,,,,,,,,,,,,,,
51,2018-01-22,TEOS,ME-ER,ATZP91,Pre,5077.16,4983.58,4985.83,4969.27,5065.67,5137.51,5020.19,4966.8,5011.55,4059.9000000000005,3748.580000000001,3968.9244444444444,3.9869475237178,101.97547537412608,Pass,,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
52,,,,ATZP91,Post,3137.12,2972.23,2961.51,2952.67,3105.95,3263.22,3013.26,2936.85,3014.59,,,,,,,,,,,,,,,,
53,,,,ATZP91,"∆ /Time=ERÅ/Min
",3880.08,4022.7,4048.6399999999994,4033.2000000000007,3919.4400000000005,3748.580000000001,4013.8599999999988,4059.9000000000005,3993.92,,,,,,,,,,,,,,,,
60,2018-01-25,TEOS,ME-ER,ATZP91,Pre,6882.67,6881.03,6899.28,6863.66,6863.4,6887.16,6910.22,6881.89,6859.54,3961.120000000001,3670.8600000000006,3869.6244444444446,3.8032070314649697,97.87043924381163,Pass,1428,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
61,,,,ATZP91,Post,4988.84,4917.51,4923.53,4900.67,4967.01,5051.73,4950.13,4901.33,4914.79,,,,,,,,,,,,,,,,
62,,,,ATZP91,"∆ /Time=ERÅ/Min
",3787.66,3927.039999999999,3951.5,3925.9799999999996,3792.779999999999,3670.8600000000006,3920.1800000000003,3961.120000000001,3889.5,,,,,,,,,,,,,,,,
69,2018-01-28,TEOS,ME-ER,ATZP91,Pre,3074.32,2939.89,2937.74,2919.62,3034.45,3180.34,2976.15,2900.09,2938.64,3992.6400000000003,3796.9600000000005,3920.815555555555,2.5120673718804536,75.0426850384782,Pass,,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
70,,,,ATZP91,Post,1144.08,951.15,943.58,937.56,1121.57,1281.86,992.36,903.77,981.64,,,,,,,,,,,,,,,,
71,,,,ATZP91,"∆ /Time=ERÅ/Min
",3860.4800000000005,3977.4799999999996,3988.3199999999997,3964.12,3825.7599999999998,3796.9600000000005,3967.58,3992.6400000000003,3914.0,,,,,,,,,,,,,,,,
78,2018-01-31,TEOS,ME-ER,ATZP91,Pre,6774.82,6669.36,6780.36,6778.2,6985.17,6859.91,6748.62,6761.48,6886.79,4026.66,3780.8600000000006,3944.3088888888888,3.1482468184519448,85.20958168603794,Pass,1335,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
79,,,,ATZP91,Post,4849.42,4683.11,4767.03,4777.05,5040.78,4969.48,4748.2,4753.39,4906.86,,,,,,,,,,,,,,,,
80,,,,ATZP91,"∆ /Time=ERÅ/Min
",3850.7999999999993,3972.5,4026.66,4002.2999999999993,3888.7800000000007,3780.8600000000006,4000.84,4016.1799999999985,3959.8600000000006,,,,,,,,,,,,,,,,
87,2018-02-03,TEOS,ME-ER,ATZP91,Pre,4862.43,4702.49,4785.13,4795.45,5046.18,4975.95,4766.88,4772.48,4918.28,4059.5199999999995,3760.2199999999993,3960.3511111111115,3.8274929857002946,99.94754729912307,Pass,1335,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
88,,,,ATZP91,Post,2928.16,2697.02,2765.78,2781.36,3101.84,3095.84,2759.33,2742.72,2931.64,,,,,,,,,,,,,,,,
89,,,,ATZP91,"∆ /Time=ERÅ/Min
",3868.540000000001,4010.9399999999996,4038.7,4028.1799999999994,3888.6800000000003,3760.2199999999993,4015.1000000000004,4059.5199999999995,3973.2799999999997,,,,,,,,,,,,,,,,
96,2018-02-06,TEOS,ME-ER,ATZP91,Pre,6720.03,6637.98,6738.71,6747.14,6897.17,6766.19,6712.1,6728.93,6824.22,3983.08,3708.24,3895.748888888889,3.5733788218407265,90.48312224449464,Pass,102,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
97,,,,ATZP91,Post,4811.45,4669.2,4752.81,4770.95,4978.59,4912.07,4741.55,4737.39,4867.59,,,,,,,,,,,,,,,,
98,,,,ATZP91,"∆ /Time=ERÅ/Min
",3817.16,3937.5599999999995,3971.7999999999993,3952.380000000001,3837.16,3708.24,3941.1000000000004,3983.08,3913.26,,,,,,,,,,,,,,,,
105,2018-02-09,TEOS,ME-ER,ATZP91,Pre,4823.32,4683.57,4766.54,4783.84,4983.95,4919.51,4755.23,4751.19,4877.05,4044.5199999999995,3763.120000000001,3954.786666666667,3.6041620771449336,96.48851019677447,Pass,,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
106,,,,ATZP91,Post,2886.01,2678.26,2748.94,2773.39,3043.51,3037.95,2747.07,2728.93,2903.6,,,,,,,,,,,,,,,,
107,,,,ATZP91,"∆ /Time=ERÅ/Min
",3874.619999999999,4010.619999999999,4035.2,4020.9000000000005,3880.879999999999,3763.120000000001,4016.319999999999,4044.5199999999995,3946.9000000000005,,,,,,,,,,,,,,,,
114,2018-02-12,TEOS,ME-ER,ATZP91,Pre,2889.0,2679.0,2752.0,2777.0,3050.0,3044.0,2750.0,2732.0,2908.0,4017.38,3840.34,3944.833333333334,2.2530708653400726,64.38809983212312,Pass,,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
115,,,,ATZP91,Post,951.05,692.74,752.74,777.1,1111.98,1123.83,763.39,723.31,933.11,,,,,,,,,,,,,,,,
116,,,,ATZP91,"∆ /Time=ERÅ/Min
",3875.9,3972.52,3998.52,3999.8,3876.04,3840.34,3973.2200000000003,4017.38,3949.7799999999997,,,,,,,,,,,,,,,,
123,2018-02-15,TEOS,ME-ER,ATZP91,Pre,6754.54,6663.66,6768.7,6776.49,6961.24,6830.94,6740.29,6759.85,6854.33,3976.9000000000015,3711.9799999999996,3903.248888888889,3.4454953127113686,86.46629176223115,Pass,121/102,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
124,,,,ATZP91,Post,4838.35,4693.93,4783.54,4797.28,5028.22,4974.95,4765.92,4771.4,4891.83,,,,,,,,,,,,,,,,
125,,,,ATZP91,"∆ /Time=ERÅ/Min
",3832.379999999999,3939.459999999999,3970.3199999999997,3958.42,3866.039999999999,3711.9799999999996,3948.74,3976.9000000000015,3925.0,,,,,,,,,,,,,,,,
132,2018-02-28,TEOS,ME-ER,ATZP91,Pre,6769.72,6666.42,6769.02,6775.98,6979.0,6853.84,6742.09,6761.4,6870.12,4041.5999999999985,3755.4799999999996,3955.764444444444,3.669578867986465,91.96976556336325,Pass,1428,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
133,,,,ATZP91,Post,4834.59,4675.22,4757.25,4768.52,5017.03,4976.1,4744.26,4740.6,4873.08,,,,,,,,,,,,,,,,
134,,,,ATZP91,"∆ /Time=ERÅ/Min
",3870.26,3982.3999999999996,4023.540000000001,4014.9199999999983,3923.9400000000005,3755.4799999999996,3995.66,4041.5999999999985,3994.08,,,,,,,,,,,,,,,,
141,2018-03-08,TEOS,ME-ER,ATZP91,Pre,4855.3,4699.79,4781.28,4792.94,5030.82,4989.47,4768.61,4765.3,4893.57,3801.5600000000004,3505.959999999999,3651.8666666666663,4.045148011911035,90.54982716716306,Pass,121,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
142,,,,ATZP91,Post,3088.69,2865.98,2934.46,2956.28,3277.84,3088.69,2934.14,2909.92,3087.68,,,,,,,,,,,,,,,,
143,,,,ATZP91,"∆ /Time=ERÅ/Min
",3533.2200000000003,3667.62,3693.6399999999994,3673.319999999999,3505.959999999999,3801.5600000000004,3668.9399999999996,3710.76,3611.7799999999997,,,,,,,,,,,,,,,,
150,2018-03-14,TEOS,ME-ER,ATZP91,Pre,3104.76,2880.54,2949.87,2971.38,3293.55,3324.66,2949.43,2924.63,3104.16,3944.1800000000003,3634.2599999999998,3852.553333333333,4.0894959912594215,100.22380854867365,Pass,121,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
151,,,,ATZP91,Post,1219.39,937.24,985.38,1011.32,1392.59,1507.53,997.86,952.54,1162.64,,,,,,,,,,,,,,,,
152,,,,ATZP91,"∆ /Time=ERÅ/Min
",3770.7400000000002,3886.6,3928.9799999999996,3920.12,3801.9200000000005,3634.2599999999998,3903.1399999999994,3944.1800000000003,3883.0399999999995,,,,,,,,,,,,,,,,
159,2018-03-28,TEOS,ME-ER,ATZP91,Pre,6926.6,6815.11,6921.39,6923.23,6923.23,6923.23,6888.62,6909.03,6923.23,3960.199999999999,3463.619999999999,3793.3422222222216,6.689009162398873,183.9357269386279,Fail,1335,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
160,,,,ATZP91,Post,5034.44,4863.77,4949.54,4960.96,5148.53,5191.42,4932.77,4928.93,5073.27,,,,,,,,,,,,,,,,
161,,,,ATZP91,"∆ /Time=ERÅ/Min
",3784.3200000000015,3902.6799999999985,3943.7000000000007,3924.539999999999,3549.3999999999996,3463.619999999999,3911.699999999999,3960.199999999999,3699.9199999999983,,,,,,,,,,,,,,,,
168,2018-04-02,TEOS,ME-ER,ATZP91,Pre,5043.41,4875.82,4959.53,4970.4,5257.94,5199.42,4943.27,4939.13,5082.31,4046.8200000000006,3738.3199999999997,3960.9755555555553,3.9626776140185136,104.95246913617879,Pass,1335,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
169,,,,ATZP91,Post,3090.66,2860.18,2937.45,2957.81,3320.95,3330.26,2929.19,2915.72,3104.62,,,,,,,,,,,,,,,,
170,,,,ATZP91,"∆ /Time=ERÅ/Min
",3905.5,4031.2799999999997,4044.16,4025.1799999999994,3873.9799999999996,3738.3199999999997,4028.1600000000008,4046.8200000000006,3955.380000000001,,,,,,,,,,,,,,,,
177,2018-04-09,TEOS,ME-ER,ATZP91,Pre,3105.97,2870.93,2948.58,2969.01,3339.9,3348.87,2940.72,2926.4,3118.88,4029.32,3776.66,3960.3133333333335,3.2367492614636513,83.24821259346265,Pass,,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
178,,,,ATZP91,Post,1155.95,867.99,935.01,962.87,1378.4,1460.54,934.73,911.74,1140.62,,,,,,,,,,,,,,,,
179,,,,ATZP91,"∆ /Time=ERÅ/Min
",3900.0399999999995,4005.8799999999997,4027.14,4012.2800000000007,3923.0,3776.66,4011.9799999999996,4029.32,3956.5200000000004,,,,,,,,,,,,,,,,
186,2018-04-13,TEOS,ME-ER,ATZP91,Pre,4966.41,4917.5,5021.64,5033.07,5171.09,5006.61,4992.93,5015.71,5092.57,4028.76,3698.959999999999,3930.6755555555555,4.267752972416199,105.84754167089791,Pass,1428,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
187,,,,ATZP91,Post,3034.86,2919.61,3018.03,3038.4,3241.74,3157.13,3002.52,3001.33,3115.87,,,,,,,,,,,,,,,,
188,,,,ATZP91,"∆ /Time=ERÅ/Min
",3863.0999999999995,3995.7799999999997,4007.2200000000003,3989.3399999999992,3858.7000000000007,3698.959999999999,3980.8200000000006,4028.76,3953.3999999999996,,,,,,,,,,,,,,,,
195,2018-04-18,TEOS,ME-ER,ATZP91,Pre,3043.9,2927.89,3027.23,3047.56,3251.96,3166.29,3011.57,3010.15,3125.35,3992.84,3691.46,3906.1199999999994,3.9220228257616196,95.49613290601346,Pass,74,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
196,,,,ATZP91,Post,1123.86,951.13,1040.49,1067.99,1323.69,1320.56,1036.59,1013.73,1156.32,,,,,,,,,,,,,,,,
197,,,,ATZP91,"∆ /Time=ERÅ/Min
",3840.0800000000004,3953.5199999999995,3973.48,3959.14,3856.54,3691.46,3949.9600000000005,3992.84,3938.06,,,,,,,,,,,,,,,,
204,2018-04-25,TEOS,ME-ER,ATZP91,Pre,6818.35,6711.59,6816.14,6820.52,7000.0,6902.34,6787.37,6806.13,6923.55,4007.0599999999995,3733.800000000001,3923.406666666667,3.5300987228808993,91.06098945209763,Pass,121,,,After tool shutdown,3650.0,4450.0,3700.0,4100.0,7.0,6.5
205,,,,ATZP91,Post,4882.77,4731.02,4820.93,4830.89,5082.7,5035.44,4804.83,4802.6,4939.48,,,,,,,,,,,,,,,,
206,,,,ATZP91,"∆ /Time=ERÅ/Min
",3871.16,3961.1399999999994,3990.42,3979.26,3834.6000000000004,3733.800000000001,3965.08,4007.0599999999995,3968.1400000000012,,,,,,,,,,,,,,,,
213,2018-04-30,TEOS,ME-ER,ATZP91,Pre,6674.81,6695.13,6763.6,6743.99,6820.87,6722.84,6742.74,6738.08,6788.84,3988.2800000000007,3749.24,3923.542222222223,3.0893619661080147,79.44479306060386,Pass,,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
214,,,,ATZP91,Post,4749.42,4718.31,4771.46,4756.41,4873.65,4848.22,4759.54,4743.94,4814.01,,,,,,,,,,,,,,,,
215,,,,ATZP91,"∆ /Time=ERÅ/Min
",3850.7800000000007,3953.6399999999994,3984.2800000000007,3975.16,3894.4400000000005,3749.24,3966.3999999999996,3988.2800000000007,3949.66,,,,,,,,,,,,,,,,
222,2018-05-04,TEOS,ME-ER,ATZP91,Pre,4766.85,4736.25,4787.97,4773.73,4884.82,4861.59,4776.52,4761.55,4829.58,4054.88,3749.9000000000005,3960.9333333333343,3.907605339292069,103.92545742017796,Pass,1159,Q18180078.F1,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
223,,,,ATZP91,Post,2827.07,2727.89,2767.06,2756.47,2946.76,2986.64,2764.14,2734.11,2844.52,,,,,,,,,,,,,,,,
224,,,,ATZP91,"∆ /Time=ERÅ/Min
",3879.5600000000004,4016.7200000000003,4041.8200000000006,4034.5199999999995,3876.119999999999,3749.9000000000005,4024.760000000001,4054.88,3970.12,,,,,,,,,,,,,,,,
231,2018-05-07,TEOS,ME-ER,ATZP91,Pre,6822.34,6816.37,6884.97,6861.31,6992.8,6904.45,6865.48,6856.36,6941.24,4057.6799999999985,3767.039999999999,3966.8777777777786,3.71438211207557,96.12645652699382,Pass,,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
232,,,,ATZP91,Post,4878.49,4812.32,4862.92,4848.26,5044.38,5020.93,4857.55,4827.52,4942.0,,,,,,,74/1335,,,,,,,,,
233,,,,ATZP91,"∆ /Time=ERÅ/Min
",3887.7000000000007,4008.1000000000004,4044.1000000000004,4026.1000000000004,3896.84,3767.039999999999,4015.8599999999988,4057.6799999999985,3998.4799999999996,,,,,,,,,,,,,,,,
240,2018-05-10,TEOS,ME-ER,ATZP91,Pre,4892.07,4827.83,4876.88,4862.62,5052.88,5028.9,4871.62,4842.83,4953.44,4083.8599999999997,3755.079999999999,3979.1888888888884,4.194189520521916,112.15670426288477,Pass,1335,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
241,,,,ATZP91,Post,2935.9,2804.31,2843.61,2834.13,3119.6,3151.36,2850.38,2800.9,2962.53,,,,,,,,,,,,,,,,
242,,,,ATZP91,"∆ /Time=ERÅ/Min
",3912.3399999999992,4047.04,4066.54,4056.9799999999996,3866.5600000000004,3755.079999999999,4042.4799999999996,4083.8599999999997,3981.819999999999,,,,,,,,,,,,,,,,
249,2018-05-14,TEOS,ME-ER,ATZP91,Pre,6868.33,6885.98,6956.29,6921.16,7000.0,6930.7,6923.27,6925.92,6981.98,4051.2199999999993,3764.879999999999,3960.4466666666663,3.6634638758460127,97.53698785589778,Pass,1335,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
250,,,,ATZP91,Post,4927.31,4883.28,4935.44,4907.59,5061.82,5048.26,4916.04,4900.31,4991.57,,,,,,,,,,,,,,,,
251,,,,ATZP91,"∆ /Time=ERÅ/Min
",3882.039999999999,4005.3999999999996,4041.7000000000007,4027.1399999999994,3876.3600000000006,3764.879999999999,4014.460000000001,4051.2199999999993,3980.8199999999997,,,,,,,,,,,,,,,,
258,2018-05-17,TEOS,ME-ER,ATZP91,Pre,4942.0,4898.0,4950.0,4923.0,5073.0,5059.0,4931.0,4916.0,5005.0,4072.0,3772.0,3984.6666666666665,3.8245792962774097,98.48350115628506,Pass,121,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
259,,,,ATZP91,Post,2978.0,2874.0,2922.0,2900.0,3118.0,3173.0,2911.0,2880.0,3010.0,,,,,,,,,,,,,,,,
260,,,,ATZP91,"∆ /Time=ERÅ/Min
",3928.0,4048.0,4056.0,4046.0,3910.0,3772.0,4040.0,4072.0,3990.0,,,,,,,,,,,,,,,,
267,2018-05-21,TEOS,ME-ER,ATZP91,Pre,6990.52,6987.59,6999.97,6999.94,6999.95,7000.0,6999.94,6999.99,6999.91,4030.460000000001,3570.8199999999997,3860.6000000000004,6.04687631556792,164.95196421988894,Pass,102,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
268,,,,ATZP91,Post,5027.46,4972.36,5038.13,5021.19,5214.54,5182.05,5026.01,5001.96,5121.41,,,,,,,,,,,,,,,,
269,,,,ATZP91,"∆ /Time=ERÅ/Min
",3926.120000000001,4030.460000000001,3923.6800000000003,3957.5,3570.8199999999997,3635.8999999999996,3947.8599999999988,3996.0599999999995,3757.0,,,,,,,,,,,,,,,,
276,2018-05-24,TEOS,ME-ER,ATZP91,Pre,6855.3,6847.12,6915.85,6889.95,7000.0,6934.37,6894.35,6886.61,6975.03,4069.26,3806.76,3988.284444444444,3.3329016432157355,91.66304914076015,Pass,1159,Q18260025.F1,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
277,,,,ATZP91,Post,4891.8,4828.9,4881.22,4863.89,5050.01,5030.99,4869.18,4854.03,4981.28,,,,,,,,,,,,,,,,
278,,,,ATZP91,"∆ /Time=ERÅ/Min
",3927.0,4036.4400000000005,4069.26,4052.119999999999,3899.9799999999996,3806.76,4050.34,4065.16,3987.5,,,,,,,,,,,,,,,,
285,2018-05-28,TEOS,ME-ER,ATZP91,Pre,4904.39,4842.66,4894.71,4876.95,5060.51,5040.19,4882.38,4867.34,4992.62,4123.6,3807.5199999999995,4029.251111111111,3.9853135496626058,102.7088107764223,Pass,1428,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
286,,,,ATZP91,Post,2921.55,2800.74,2840.73,2831.04,3084.51,3136.43,2840.93,2805.54,2968.65,,,,,,,,,,,,,,,,
287,,,,ATZP91,"∆ /Time=ERÅ/Min
",3965.6800000000003,4083.84,4107.96,4091.8199999999997,3952.0,3807.5199999999995,4082.9000000000005,4123.6,4047.9399999999996,,,,,,,,,,,,,,,,
294,2018-06-01,TEOS,ME-ER,ATZP91,Pre,2921.55,2800.74,2840.73,2831.04,3084.51,3136.43,2840.93,2805.54,2968.65,3826.84,3493.7599999999998,3698.655555555555,4.549900281397705,119.24296238262313,Pass,121/1428,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
295,,,,ATZP91,Post,1126.78,914.76,930.66,947.96,1296.77,1389.55,962.32,892.12,1125.25,,,,,,,,,,,,,,,,
296,,,,ATZP91,"∆ /Time=ERÅ/Min
",3589.5400000000004,3771.9599999999996,3820.1400000000003,3766.16,3575.4800000000005,3493.7599999999998,3757.2199999999993,3826.84,3686.8,,,,,,,,,,,,,,,,
303,2018-06-05,TEOS,ME-ER,ATZP91,Pre,3011.83,2902.24,2951.89,2930.35,3156.22,3216.95,2942.93,2908.77,3041.83,3992.8999999999996,3669.68,3865.8599999999997,4.218161506959794,120.8060760061309,Pass,1335,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
304,,,,ATZP91,Post,1149.9,933.37,955.44,955.63,1269.15,1382.11,978.19,913.3,1129.55,,,,,,,,,,,,,,,,
305,,,,ATZP91,"∆ /Time=ERÅ/Min
",3723.8599999999997,3937.74,3992.8999999999996,3949.4399999999996,3774.1399999999994,3669.68,3929.4799999999996,3990.94,3824.56,,,,,,,,,,,,,,,,
312,2018-06-08,TEOS,ME-ER,ATZP91,Pre,5053.73,4996.67,5062.85,5045.28,5240.37,5208.91,5051.08,5026.51,5146.24,4013.26,3667.6399999999994,3874.3866666666663,4.499733104193529,123.45107411440415,Pass,1335,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
313,,,,ATZP91,Post,3168.6,3017.39,3065.07,3076.96,3374.43,3375.09,3086.36,3019.88,3213.12,,,,,,,,,,,,,,,,
314,,,,ATZP91,"∆ /Time=ERÅ/Min
",3770.2599999999993,3958.5600000000004,3995.5600000000004,3936.6399999999994,3731.88,3667.6399999999994,3929.4399999999996,4013.26,3866.24,,,,,,,,,,,,,,,,
321,2018-06-11,TEOS,ME-ER,ATZP91,Pre,3179.64,3026.86,3074.82,3086.8,3388.78,3389.57,3096.49,3029.19,3224.33,4014.44,3690.2200000000003,3893.1866666666665,4.208102628798673,114.22319204086978,Pass,121/1159,Q18240020.F1,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
322,,,,ATZP91,Post,1282.27,1046.28,1068.51,1105.7,1497.38,1544.46,1124.15,1021.97,1286.42,,,,,,,,,,,,,,,,
323,,,,ATZP91,"∆ /Time=ERÅ/Min
",3794.74,3961.1600000000003,4012.6200000000003,3962.2000000000003,3782.8,3690.2200000000003,3944.6799999999994,4014.44,3875.8199999999997,,,,,,,,,,,,,,,,
330,2018-06-15,TEOS,ME-ER,ATZP91,Pre,6881.84,6875.3,6945.57,6919.32,7051.01,6960.93,6922.73,6914.07,6998.66,3989.0199999999986,3641.92,3859.93111111111,4.548587723137629,121.28731636538858,Pass,121,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
331,,,,ATZP91,Post,5005.89,4910.25,4955.07,4951.35,5177.59,5139.97,4963.5,4919.56,5076.56,,,,,,,,,,,,,,,,
332,,,,ATZP91,"∆ /Time=ERÅ/Min
",3751.8999999999996,3930.1000000000004,3981.0,3935.9399999999987,3746.84,3641.92,3918.459999999999,3989.0199999999986,3844.199999999999,,,,,,,,,,,,,,,,
339,2018-06-19,TEOS,ME-ER,ATZP91,Pre,5015.1,4920.72,4964.48,4960.73,5185.75,5147.61,4973.09,4929.97,5084.87,3995.9400000000005,3618.2999999999993,3856.633333333333,4.959654542016029,131.33353874772754,Pass,1159,Q18250055.F1,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
340,,,,ATZP91,Post,3138.97,2949.12,2973.46,2992.67,3322.72,3338.46,3013.55,2932.0,3166.52,,,,,,,,,,,,,,,,
341,,,,ATZP91,"∆ /Time=ERÅ/Min
",3752.260000000001,3943.2000000000007,3982.039999999999,3936.119999999999,3726.0600000000004,3618.2999999999993,3919.08,3995.9400000000005,3836.7,,,,,,,,,,,,,,,,
348,2018-06-25,TEOS,ME-ER,ATZP91,Pre,3153.54,2962.03,2986.7,3005.72,3341.1,3355.66,3027.1,2944.57,3181.6,4041.92,3712.5199999999995,3920.6511111111113,4.247888951362066,111.90517776720793,Pass,1340,Q18260023.F1,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
349,,,,ATZP91,Post,1241.03,969.47,970.04,1012.45,1429.56,1499.4,1043.31,923.61,1226.22,,,,,,,,,,,,,,,,
350,,,,ATZP91,"∆ /Time=ERÅ/Min
",3825.02,3985.1200000000003,4033.3199999999997,3986.5399999999995,3823.08,3712.5199999999995,3967.58,4041.92,3910.7599999999998,,,,,,,,,,,,,,,,
357,2018-06-28,TEOS,ME-ER,ATZP91,Pre,3388.14,3306.74,3440.21,3433.47,3683.05,3499.19,3396.01,3418.93,3541.65,4017.78,3648.2000000000003,3878.2400000000002,4.8210404931919975,136.74440610129827,Pass,121,,,,3650.0,4450.0,3700.0,4100.0,7.0,6.5
358,,,,ATZP91,Post,1500.81,1323.53,1431.32,1448.39,1822.81,1675.09,1417.88,1413.25,1622.23,,,,,,,,,,,,,,,,
359,,,,ATZP91,"∆ /Time=ERÅ/Min
",3774.66,3966.4199999999996,4017.78,3970.1599999999994,3720.4800000000005,3648.2000000000003,3956.26,4011.3599999999997,3838.84,,,,,,,,,,,,,,,,
